"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|D6VTK4|STE2_YEAST","C2-C1",0.0784157226219846,0.0964361732755577,0.813135983713484,8,0.439667171877711,0.998854163492268,NA,0,0
"2","sp|O13297|CET1_YEAST","C2-C1",-0.111243218044941,0.0775667134377349,-1.43416180877947,8,0.189434738348624,0.998854163492268,NA,0,0
"3","sp|O13329|FOB1_YEAST","C2-C1",-0.162140111369499,0.291007964461446,-0.557167264028542,8,0.592655205250735,0.998854163492268,NA,0,0
"4","sp|O13539|THP2_YEAST","C2-C1",-0.437466961867235,0.828866487885518,-0.527789418755772,8,0.61196656493512,0.998854163492268,NA,0,0
"5","sp|O13547|CCW14_YEAST","C2-C1",-0.0577936246012993,0.146686732960735,-0.393993535985081,8,0.703879449776306,0.998854163492268,NA,0,0
"6","sp|O13563|RPN13_YEAST","C2-C1",-0.169497761047847,0.0953756413033499,-1.77715985687316,8,0.11344089275824,0.998854163492268,NA,0,0
"7","sp|O13585|YP089_YEAST","C2-C1",-0.165309777140377,0.114679709838678,-1.44149106562026,8,0.187419846276564,0.998854163492268,NA,0,0
"8","sp|O14455|RL36B_YEAST","C2-C1",-0.00116011211593717,0.224461355355444,-0.00516842693968446,8,0.996002768745627,0.998854163492268,NA,0,0
"9","sp|O14467|MBF1_YEAST","C2-C1",0.0870795379156066,0.175490502022783,0.496206557687673,8,0.633093171626304,0.998854163492268,NA,0,0
"10","sp|O14468|YO304_YEAST","C2-C1",-0.623931131303919,0.478646658714544,-1.30353178058226,8,0.228653040434045,0.998854163492268,NA,0,0
"11","sp|O43137|YB085_YEAST","C2-C1",-0.107464826076754,0.275393111449683,-0.390223362926741,8,0.706555911515572,0.998854163492268,NA,0,0
"12","sp|O60200|MDM35_YEAST","C2-C1",1.51931834026422,1.35722028445702,1.11943385879474,8,0.295436410161008,0.998854163492268,NA,0,0
"13","sp|O74700|TIM9_YEAST","C2-C1",-0.0430821857718386,0.131626640847587,-0.327305973125337,8,0.751836845673792,0.998854163492268,NA,0,0
"14","sp|P00128|QCR7_YEAST","C2-C1",0.0234284325077413,0.0453323003392122,0.516815434743686,8,0.61926507985705,0.998854163492268,NA,0,0
"15","sp|P00330|ADH1_YEAST","C2-C1",0.0642344482770088,0.0583099703750255,1.10160317118804,8,0.302670481138943,0.998854163492268,NA,0,0
"16","sp|P00358|G3P2_YEAST","C2-C1",0.40243467641564,0.396466256975027,1.0150540413859,8,0.339792201242481,0.998854163492268,NA,0,0
"17","sp|P00359|G3P3_YEAST","C2-C1",0.228855829839976,0.263045481559803,0.870023801522499,8,0.409631980980259,0.998854163492268,NA,0,0
"18","sp|P00360|G3P1_YEAST","C2-C1",0.0180774678610382,0.0570948959525053,0.316621434533763,8,0.759635078692604,0.998854163492268,NA,0,0
"19","sp|P00410|COX2_YEAST","C2-C1",-0.34566169368245,0.368563380378885,-0.937862283895671,8,0.375761845653899,0.998854163492268,NA,0,0
"20","sp|P00425|COX5B_YEAST","C2-C1",-0.0372595236176498,0.098863034403268,-0.376880234786908,8,0.71606297137742,0.998854163492268,NA,0,0
"21","sp|P00427|COX6_YEAST","C2-C1",0.0487441860326274,0.110388465628718,0.441569558513244,8,0.670492530752403,0.998854163492268,NA,0,0
"22","sp|P00431|CCPR_YEAST","C2-C1",-0.0150547875886426,0.078326710276305,-0.192205028597976,8,0.852370888631884,0.998854163492268,NA,0,0
"23","sp|P00445|SODC_YEAST","C2-C1",0.0173948841329643,0.123955035633046,0.140332210338431,8,0.891866474426158,0.998854163492268,NA,0,0
"24","sp|P00447|SODM_YEAST","C2-C1",-0.00792477957001041,0.0583180392623937,-0.13588899198675,8,0.895266217901584,0.998854163492268,NA,0,0
"25","sp|P00498|HIS1_YEAST","C2-C1",0.0330537910689698,0.0798728023405462,0.413830366537554,8,0.68987018310691,0.998854163492268,NA,0,0
"26","sp|P00546|CDK1_YEAST","C2-C1",-0.115920978650357,0.0771528844442046,-1.50248405468481,8,0.171374508208282,0.998854163492268,NA,0,0
